band,distance_km,name,reg_name,city,district,address,phone,email,website,rating,reviews,size_tier,seats_at_once,approved_capacity,approved_capacity_en,n_classes,classrooms,classroom_m2,building_m2,n_teachers,category,licensed_on,principal,director,match,reg_id,type,status,maps,lat,lng,place_id
5–10 km,7.94,艾立笙文理語文短期補習班,私立艾立笙文理語文短期補習班,桃園市,龍潭區,桃園市龍潭區中正里龍華路365號,03 409 0901,lue0922880612@gmail.com,,1,1,中型,68,70,15,4,4,82.77,281.72,1,"文理類,外語類",2007-05-10,呂梅台,呂梅台,address,33200707170012,學校,OPERATIONAL,https://maps.google.com/?cid=12688028577401609648&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8584657,121.21760599999999,ChIJC1o-FwI9aDQRsB0HYMTuFLA
5–10 km,8.52,王莉美語安親中心,,桃園市,楊梅區,桃園市楊梅區,,,,3.8,4,,,,,,,,,,,,,,,,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=17659105423038208687&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8999594,121.09665840000001,ChIJib8S35U6aDQRr9pd_9G-EfU
5–10 km,8.67,冠球語文珠算短期補習班,私立冠球語文珠算短期補習班,桃園市,中壢區,桃園市中壢區仁愛里榮民南路224號,03 466 8629,fjjot215038@yahoo.com.tw,,5,2,小型,33,64,37,4,3,64.34,123.16,1,"外語類,商類：珠算、心算、會計",2014-07-21,楊優華,李冠瑩,address,33201408180002,學校,OPERATIONAL,https://maps.google.com/?cid=4957700772940780852&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9524939,121.25640329999999,ChIJbxsKfQwiaDQRNJXQAZZKzUQ
5–10 km,8.93,科林外語,,桃園市,中壢區,桃園市中壢區華愛里榮民南路83號,,,,,,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=5360159746373528869&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9549929,121.25796489999999,ChIJyfDAXAkiaDQRJS3x1eMcY0o
5–10 km,9.28,邱老師美語短期補習班,私立邱老師美語短期補習班,桃園市,新屋區,桃園市新屋區新屋里新興街11號,0926 941 955,q4queen@yahoo.com.tw,,5,4,小型,14,14,14,1,1,37.87,68.82,1,外語類,2007-04-26,邱慧珍,邱慧珍,address,33200705040001,學校,OPERATIONAL,https://maps.google.com/?cid=10841667619523414826&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9722627,121.1061862,ChIJW3d7FqMlaDQRKkuMIkJXdZY
5–10 km,9.43,小學堂美語短期補習班,私立小學堂美語短期補習班,桃園市,新屋區,桃園市新屋區新屋里中正一街26巷7號,03 477 1886,sam687628@gmail.com,,5,1,小型,58,58,58,4,4,72.64,155.93,2,外語類,2008-11-10,林麗庭,曾銘頡,address,33200811100001,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=17132230300581656515&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9738777,121.10573230000001,ChIJXV06LaMlaDQRw3daHLDowe0
5–10 km,9.45,維吉尼亞文理語文短期補習班,,桃園市,楊梅區,桃園市楊梅區豐野里民富路三段924巷7號,03 472 7887,,,,,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=17301286997401734467&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.93534,121.08592,ChIJmZ4VpVAlaDQRQw03pduEGvA
5–10 km,9.54,威齊語文短期補習班,私立威齊語文短期補習班,桃園市,新屋區,桃園市新屋區新生里新生五街8號2樓,03 477 9789,wikimsn@yahoo.com.tw,,,,小型,30,30,15,2,2,37.68,126.96,3,外語類,2011-11-02,黃錦增,廖胤琳,address,33201111220004,學校,OPERATIONAL,https://maps.google.com/?cid=16211324136502453195&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9745228,121.10485270000001,ChIJU4KeK70laDQRy-PxLmkx-uA
5–10 km,9.89,青宏美語珠心算短期補習班,私立青宏美語珠心算短期補習班,桃園市,大溪區,桃園市大溪區三元里三元三街14號,03 390 9931,osborn.live8@gmail.com,,,,小型,32,64,32,4,2,40.78,111.48,2,"外語類,商類：珠算、心算、會計",2002-08-27,黎萬賢,徐依筳,address,33200209170010,學校,OPERATIONAL,https://maps.google.com/?cid=5685864498803722242&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.882619,121.26700600000001,ChIJHVmMQv8XaDQRAkgz_KI_6E4
5–10 km,9.89,馬林魚美語文理短期補習班,私立馬林魚美語文理短期補習班,桃園市,楊梅區,桃園市楊梅區豐野里信義街231號,03 472 1249,marlins231@gmail.com,https://m.facebook.com/%E9%A6%AC%E6%9E%97%E9%AD%9A%E8%A3%9C%E7%BF%92%E7%8F%AD-169022626596685/?ref=bookmarks,3.7,3,小型,40,80,40,2,1,44.78,104.53,2,"文理類,外語類",2008-04-28,李明翰,李明翰,address,33200806030002,學校,OPERATIONAL,https://maps.google.com/?cid=1731807927207520159&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.936887,121.08174229999999,ChIJwYObKVglaDQRn-doYCKeCBg
10–15 km,10.06,茗雅文理美語短期補習班,,桃園市,大溪區,桃園市大溪區光明里三元一街31號,03 389 2327,,,,,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=16531274705841816831&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.884108299999998,121.2696086,ChIJwZoSFQIYaDQR_wQaLsLiauU
10–15 km,10.1,文佑語文文理數學短期補習班,私立文佑語文文理數學短期補習班,桃園市,大溪區,桃園市大溪區光明里三元一街49號,03 390 9559,susan75117@yahoo.com.tw,,5,2,中型,96,103,31,7,6,87.56,169.5,4,"文理類,外語類",2001-03-13,金素芬,金素芬,address,33200208210016,學校,OPERATIONAL,https://maps.google.com/?cid=17602456463571825247&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8840219,121.26998940000001,ChIJeeljagIYaDQRXzJ6TeR8SPQ
10–15 km,10.23,Live互動美語中壢青埔加盟校/同學家(翻轉課後),私立同學家文理短期補習班,桃園市,中壢區,桃園市中壢區青埔里青商路56號1樓,03 287 8978,vicky2553@gmail.com,https://www.facebook.com/Liveabcahomefromhome,,,小型,44,172,84,8,2,52.21,119.46,3,"文理類,外語類",2022-12-23,陳建豪,王泰杰,address,33202212260002,學校,OPERATIONAL,https://maps.google.com/?cid=4238158386200350127&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,25.005275100000002,121.21688770000002,ChIJn_2HlkohaDQRr41Q95j20Do
10–15 km,10.29,夏恩英語桃園大溪分校,私立瑞淇語文短期補習班,桃園市,大溪區,"號 No, No. 142仁善三街仁善里大溪區桃園市335",03 390 0868,Rachel.eagle102@gmail.com,https://www.facebook.com/RachelsEnglishSchool/?ref=aymt_homepage_panel,5,63,小型,36,36,12,3,3,44.6,124.61,3,外語類,2013-08-07,吳紀緯,繆知岑,phone,33201309170001,學校,OPERATIONAL,https://maps.google.com/?cid=17973680515661347222&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.907762299999998,121.27925259999999,ChIJQX4Prm4YaDQRlrlaSjNXb_k
10–15 km,10.49,奧斯汀美語桃園八德分校,私立星點子文理技藝短期補習班,桃園市,八德區,桃園市八德區中正路178號1樓,03 368 2584,staroy0401@gmail.com,https://reurl.cc/j9NgYy,4.7,3,小型,39,199,56,15,3,49.36,82.63,3,"文理類,美術、書法、攝影、美工設計、圍棋類",2025-11-05,朱裕昌,楊玉媚,address,33202511050003,學校,OPERATIONAL,https://maps.google.com/?cid=10352962592592293844&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9274676,121.28189440000001,ChIJjRoIkWUZaDQR1O9eKKAcrY8
10–15 km,10.55,日進文理語文短期補習班,,桃園市,龍潭區,桃園市龍潭區建林里民族路216巷16弄3號,03 470 4629,,,,,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=11512969066118304067&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8405196,121.23477779999999,ChIJEcHDnKM9aDQRQ9EKCF5Ixp8
10–15 km,10.58,耕心幼兒園 【愛美語 仁善分校】安親班、美語班、補習班、正音班,私立立騰文理語文短期補習班,桃園市,大溪區,桃園市大溪區仁善里仁德七街35號,03 380 7073,van1030.tw@yahoo.com.tw,https://reurl.cc/XE0k2M,5,4,大型,40,40,20,4,4,275.22,955.32,2,"文理類,外語類",2006-11-30,呂明麗,賴宜慎,address,33200612190003,幼稚園,OPERATIONAL,https://maps.google.com/?cid=15402730174840453911&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9145513,121.28289050000001,ChIJ9YLcWtcZaDQRFzuOonx9wdU
10–15 km,10.62,愛丁堡語文短期補習班,私立愛丁堡語文短期補習班,桃園市,龍潭區,桃園市龍潭區建林里民族路294巷29號,0952 811 303,info@englishland.org,,5,3,中型,100,240,240,12,5,98.92,343.51,1,外語類,1999-03-16,吳莊暉,吳莊暉,name,33200207230025,學校,OPERATIONAL,https://maps.google.com/?cid=15103574266855413204&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.839088,121.23359029999997,ChIJlWQYvL89aDQR1NWlBsasmtE
10–15 km,10.63,佳音英語桃德校,私立森日語文文理短期補習班,桃園市,八德區,桃園市八德區興中里中興街14號,03 368 0022,tw0983276700@gmail.com,https://www.facebook.com/share/1LTJQ3ujcV/?mibextid=LQQJ4d,5,7,中型,75,252,252,16,5,86.32,160.5,3,"文理類,外語類",2025-11-06,林志杰,葉柏萱,address,33202511060001,教育機構,OPERATIONAL,https://maps.google.com/?cid=2859334526894675409&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9269812,121.28327829999999,ChIJcRlXWo4ZaDQR0RWRUZplric
10–15 km,10.7,得分文理語文短期補習班,私立得分文理語文短期補習班,桃園市,龍潭區,桃園市龍潭區三林里民族路265號,03 480 1553,luhejing@ms96.url.com.tw,,3.7,3,小型,36,105,12,5,3,47.39,114.68,5,"文理類,外語類",2008-12-17,紀志融,董涵如,address,33200903240001,學校,OPERATIONAL,https://maps.google.com/?cid=10347944177935672648&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8390991,121.23514099999998,ChIJd1WMa6M9aDQRSGVtcWdIm48
10–15 km,10.79,競升文理美語短期補習班,,桃園市,龍潭區,桃園市龍潭區三林里民族路293巷16弄5號,03 499 3535,,,,,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=14376442160187614880&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.838511999999998,121.23579199999999,ChIJAz6mPqM9aDQRoKbum_lhg8c
10–15 km,10.99,康大電腦文理美語短期補習班,私立康大電腦文理美語短期補習班,桃園市,觀音區,桃園市觀音區大同里中山路二段763巷23弄5號,03 498 9619,kda@kda.tw,,,,中型,24,96,24,4,1,35.02,260.01,1,"文理類,外語類,資訊類",1997-04-30,張世慈,張士蓮,name,33200207240024,學校,OPERATIONAL,https://maps.google.com/?cid=1430205591495836548&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,25.0122739,121.1382623,ChIJByqNyJEmaDQRhAPjbGgc2RM
10–15 km,11.4,布萊登文理補習班-Live互動美語新坡校（MPM數學）,私立布萊登文理短期補習班,桃園市,觀音區,桃園市觀音區新坡里中山路二段522號,03 498 0741,kyle19970420@gmail.com,https://www.facebook.com/shinpobrighton,5,66,中型,115,240,148,10,5,151.04,264.21,3,"文理類,外語類",2023-02-13,黃嵐亞,林昀皜,address,33202302150001,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=18035018636804813228&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,25.0143566,121.13313409999999,ChIJOW5rhOonaDQRrPFMhOVBSfo
10–15 km,11.43,澧森美語Listen To Me,私立澧森文理短期補習班,桃園市,大園區,桃園市大園區青山里領航北路三段223號2樓,03 287 0170,emily781021@gmail.com,https://www.facebook.com/profile.php?id=100088852862810&mibextid=LQQJ4d,4.6,10,大型,154,600,256,40,11,201.18,317.18,12,"文理類,外語類",2023-04-25,黃悅紅,黃悅紅,address,33202304250001,學校,OPERATIONAL,https://maps.google.com/?cid=10710909231072825876&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,25.0180904,121.2129552,ChIJVXrDGK8haDQRFFKMYzLLpJQ
10–15 km,11.47,大英美語文理補習班,,桃園市,觀音區,桃園市觀音區新坡里文中路66號,03 498 7622,,,5,1,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=12106770343731689723&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,25.015570399999998,121.13456490000002,ChIJDXOs0I0maDQR-3hcs3vjA6g
10–15 km,11.49,語捷語文短期補習班,,桃園市,觀音區,桃園市觀音區新坡里中山路二段470號,03 498 6819,,,5,1,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=9615573300021051170&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,25.0147899,121.1321983,ChIJL_wFvI4maDQRIj98i_hgcYU
10–15 km,11.63,私立美亞美語短期補習班,私立美亞美語短期補習班,桃園市,大溪區,桃園市大溪區興和里中正路45號,03 388 0891,mayyaenglishschool@yahoo.com.tw,,3.7,13,小型,34,68,68,4,2,30.0,70.0,5,外語類,2000-09-28,簡雅惠,江衍君,address,33200208270011,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=16259423481686131422&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8830317,121.2859362,ChIJkS_23SEYaDQR3gKMroITpeE
10–15 km,11.69,私立成龍語文短期補習班,,桃園市,大溪區,桃園市大溪區福仁里登龍路20巷2號1樓,03 387 9867,,,,,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=15068509818082830298&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8835434,121.28676619999999,ChIJBeg-KyAYaDQR2idQ2dcZHtE
10–15 km,11.77,麋爾頓美語 Miltonkids Academy 兒童美語↗幼兒美語↗美語學習↗,私立麋爾頓文理技藝短期補習班,桃園市,大園區,桃園市大園區青峰里大勇路26號,03 287 8335,miltonkids2022@gmail.com,https://www.facebook.com/share/1PuJWpSzSM/?mibextid=wwXIfr,5,5,小型,36,135,72,14,4,50.45,148.7,3,"文理類,外語類,資訊類",2024-06-27,李亭慧,李亭慧,address,33202406270001,學校,OPERATIONAL,https://maps.google.com/?cid=4088211649515127756&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,25.0196173,121.2184405,ChIJDUR0lKshaDQRzIP2v9U-vDg
10–15 km,11.78,Warmhood 暖夥英語,逗點國際教育事業股份有限公司附設私立逗點文理短期補習班展翅分班,桃園市,大園區,桃園市大園區青埔里大勇路31號,,wish124574318@gmail.com,https://www.facebook.com/share/1ALxrer6sB/?mibextid=wwXIfr,5,6,中型,120,364,96,15,6,178.22,337.7,2,"文理類,外語類",2023-02-10,徐暘智,黃偉婷,address,33202302100001,教育機構,OPERATIONAL,https://maps.google.com/?cid=14176765589222857384&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,25.019614600000004,121.21876890000001,ChIJyw1mYrIhaDQRqBqcETH9vcQ
10–15 km,11.79,【逗點教室-青園展翅校】青園國小安親班/青埔補習班/資優數學/自然科學實驗/兒童美語,逗點國際教育事業股份有限公司附設私立逗點文理短期補習班展翅分班,桃園市,大園區,桃園市大園區青峰里大勇路33號,03 287 3931,wish124574318@gmail.com,http://comma.study/,5,153,中型,120,364,96,15,6,178.22,337.7,2,"文理類,外語類",2023-02-10,徐暘智,黃偉婷,address,33202302100001,學校,OPERATIONAL,https://maps.google.com/?cid=9846410775888078682&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,25.019582099999997,121.2190134,ChIJjWM2DRAhaDQRWidjoW56pYg
10–15 km,11.85,奧斯汀美語 桃園龍山分校,私立煦恩文理短期補習班,桃園市,桃園區,桃園市桃園區龍壽里龍泉六街22號1樓,03 370 9247,austinlongshanlife@gmail.com,https://www.facebook.com/profile.php?id=61580289115110,5,16,中型,44,227,100,11,2,48.04,249.66,3,"文理類,外語類",2026-06-02,黃鈺婷,黃鈺婷,address,33202606030001,學校,OPERATIONAL,https://maps.google.com/?cid=72871809881523559&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.983910599999998,121.27247579999998,ChIJQwgZPk4faDQRZ8UgZobkAgE
10–15 km,11.9,青埔【個別指導】補習班❤️安親.美語.鋼琴.數學.多益.甲蟲飼育.程式語言.AI機器人.APCS大學程式設計.動力積木.國中會考.高中學測.國文.英文.數學.物理.化學.生物.地球科學.社會.自學生升學輔導.親子共學.育林文化,私立希言文理短期補習班,桃園市,大園區,桃園市大園區大華一街28號,0900 187 246,lee8810@gmail.com,https://www.facebook.com/profile.php?id=100064001738820,5,62,小型,42,286,86,20,3,49.44,148.7,2,"文理類,外語類",2025-03-19,李育林,李育林,address,33202503190001,教育機構,OPERATIONAL,https://maps.google.com/?cid=11659924220272489277&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,25.0205633,121.21943409999999,ChIJcYSmqN8haDQRPbNQKU1f0KE
10–15 km,11.94,Red Rock English 紅石美語-大園/中壢/青埔|青園國小/青埔國小/兒童美語|外師英文|幼兒美語|美語補習班|課後英文|國小英文|國小美語|國小安親,私立紅石美語文理短期補習班,桃園市,大園區,桃園市大園區青峰里大成路二段39號,03 287 7727,redrockenglish.jerrylin@gmail.com,https://www.facebook.com/RedRockEnglish/,5,11,小型,72,366,144,18,3,75.0,180.31,3,"文理類,外語類",2025-11-10,林宇晨,林宇晨,address,33202511100002,學校,OPERATIONAL,https://maps.google.com/?cid=17755332729122960395&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,25.020518799999998,121.2204841,ChIJk8XDpPchaDQRC7Q9nAudZ_Y
10–15 km,12.21,私立育英文理短期補習班,私立育英文理短期補習班,桃園市,大溪區,桃園市大溪區田心里民權東路93號,03 387 1549,ydmkininm1209@gmail.com,,3.3,12,小型,18,36,,2,1,33.8,180.81,1,文理類,1996-04-05,彭欣誼,彭欣誼,address,33200207240047,學校,OPERATIONAL,https://maps.google.com/?cid=6123919915457803578&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.882209099999997,121.291663,ChIJUbWZsSYYaDQROnXNmbeI_FQ
10–15 km,12.29,學子語文文理短期補習班,,桃園市,大溪區,桃園市大溪區一心里文化路161號,03 387 3139,,,,,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=9578364227841256178&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.877785,121.290627,ChIJWxS1B4oXaDQR8mrJUYQv7YQ
10–15 km,12.39,私立小熊文理語文珠心算數學短期補習班,私立小熊文理語文珠心算數學短期補習班,桃園市,大溪區,桃園市大溪區文化路81號1F,03 387 2097,BlackHsiao@me.com,https://www.facebook.com/bear3872097,,,小型,38,181,15,10,2,43.8,110.67,3,"商類：珠算、心算、會計,其他類",2001-11-06,蕭宇廷,蕭宇廷,address,33200209160001,學校,OPERATIONAL,https://maps.google.com/?cid=15787240832110128572&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.881391999999998,121.29330679999998,ChIJu-a_kiYYaDQRvG13deSLF9s
10–15 km,12.45,喬登美語,,桃園市,蘆竹區,桃園市蘆竹區新興里文中路一段19巷36號,080 003 7789,,,3,2,,,,,,,,,,,,,,,,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=147883186273943520&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9913292,121.27359109999999,ChIJY5mC2tSpQjQR4H8ccvliDQI
10–15 km,12.58,私立兒童星球美語短期補習班,,桃園市,桃園區,桃園市桃園區龍安里國豐十街258號,03 360 0292,,,4.3,6,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=18370209368332522681&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.991785399999998,121.27484140000001,ChIJX--El2gfaDQRuVQDSRcY8P4
10–15 km,12.58,喬登美語(大成分校),私立維一語文文理短期補習班,桃園市,八德區,桃園市八德區大成里福僑街39號,03 371 4237,wei.yi624@msa.hinet.net,,4.5,11,小型,54,108,54,4,2,65.94,171.56,2,"文理類,外語類",2011-07-18,鄭銀福,鄭銀福,address,33201107180001,學校,OPERATIONAL,https://maps.google.com/?cid=13133463996729627691&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.958541999999998,121.2955987,ChIJSVzWvM0YaDQRK5Rzw-tvQ7Y
10–15 km,12.59,夏恩英語 桃園大成校,,桃園市,八德區,桃園市八德區大和里建國路1110號,03 363 7598,,,5,8,,,,,,,,,,,,,,,,教育機構,OPERATIONAL,https://maps.google.com/?cid=8240594889294549895&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.956699099999998,121.2964148,ChIJTU_x-sAZaDQRhxNNKmR5XHI
10–15 km,12.62,桃園市私立艾普樂斯英語補習班,私立艾普樂斯英語短期補習班,桃園市,八德區,桃園市八德區大成里大成街61號 號,03 363 6276,aplus033636276@yahoo.com.tw,,,,小型,30,30,30,3,3,37.18,87.69,1,外語類,2004-11-26,張愛琳,張愛琳,address,33200507120003,學校,OPERATIONAL,https://maps.google.com/?cid=12900452177462876946&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.957714199999998,121.2962628,ChIJFeahks0YaDQREtuW5-ecB7M
10–15 km,12.63,Live互動美語桃園龍安分校（龍安甲子）,私立龍安甲子文理短期補習班,桃園市,桃園區,桃園市桃園區龍安里國強十三街104號,03 370 9123,laserpda@gmail.com,https://www.facebook.com/austinlonganschool,5,13,小型,30,182,122,12,2,39.52,101.47,1,文理類,2025-01-06,劉湘鈴,劉湘鈴,address,33202501070001,學校,OPERATIONAL,https://maps.google.com/?cid=6861916949558970956&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.992203099999998,121.27508139999999,ChIJAQd2L08faDQRTMqxEBxtOl8
10–15 km,12.63,經典補習班-大成分校國小部(徐薇英文)-大成國小補習班/八德數學班/八德兒童美語/八德作文班/八德安親班,私立經典文理美語短期補習班,桃園市,八德區,桃園市八德區大成里大成街67號,03 376 1116,long168hair@gmail.com,https://www.facebook.com/%E7%B6%93%E5%85%B8%E8%A3%9C%E7%BF%92%E7%8F%AD-%E5%BE%90%E8%96%87%E8%8B%B1%E6%96%87-%E5%9C%8B%E5%B0%8F%E9%83%A8-1830379323887907/,4.6,91,中型,92,93,93,5,5,116.28,256.94,5,"文理類,外語類",2005-01-31,簡志銘,簡志銘,address,33200507040007,學校,OPERATIONAL,https://maps.google.com/?cid=4820511775959319611&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9577556,121.2963669,ChIJZf2zWQEZaDQRO4Skievl5UI
10–15 km,12.65,承信短期美語補習班,,桃園市,八德區,桃園市八德區,,,,,,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=10480629542619071215&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.956804899999998,121.29698080000001,ChIJMSj0B9IYaDQR70JGTgqtcpE
10–15 km,12.72,佳祥文理短期補習班(中興國中 永豐國中 桃園國中)桃園國一先修 英文 數學 會考補習班 全科班 高一數學班,私立佳祥文理短期補習班,桃園市,桃園區,桃園市桃園區龍鳳里國豐三街13號5樓,03 379 5379,peiwenlee0807@hotmail..com,https://jia-xiang.articulation.website/,5,63,小型,72,70,17,4,4,85.44,141.85,6,文理類,2010-10-28,李佩紋,李佩紋,phone,33201010280001,學校,OPERATIONAL,https://maps.google.com/?cid=11989558217325762679&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.988014,121.27981100000001,ChIJYcbfH2ofaDQRd1iR3ax3Y6Y
10–15 km,12.85,私立柏林語文文理短期補習班,私立柏林語文文理短期補習班,桃園市,桃園區,桃園市桃園區龍鳳里龍安街119號2 樓,03 378 6458,bolinei@outlook.com,,3,2,中型,138,136,48,6,6,174.32,282.67,4,"文理類,外語類",2009-11-16,吳秉澤,吳秉澤,address,33200911160001,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=7801825727646148257&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9900201,121.27972670000001,ChIJkeMH2GsfaDQRoSba1ymnRWw
